行政區,陽性率,總卵粒數,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,RH,RHMin,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpMax10,PrecpMax60,SunShine,SunshineRate,GloblRad,UVI Max
安平區,35.83%,2747,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
仁德區,39.58%,2382,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
北區,27.53%,2880,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
永康區,26.94%,3337,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
安南區,36.54%,1504,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
中西區,34.80%,5409,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
東區,25.19%,3104,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
南區,30.86%,3903,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
新營區,22.22%,553,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
歸仁區,27.38%,758,1007.5285714285714,1010.6428571428571,1010.0714285714286,1005.1714285714286,24.27142857142857,27.74285714285714,21.857142857142858,20.37142857142857,79.71428571428571,65.14285714285714,3.4857142857142853,261.42857142857144,10.814285714285715,202.85714285714286,1.4166666666666667,0.9428571428571428,0.4166666666666667,0.6666666666666666,4.371428571428571,39.9,11.209999999999999,4.428571428571429
